;inn;year;capital;Cancel_date;ROA;Z_A
84749;0107010234;2017;10000.0;;0.0896;0.0048746876189104974
20584;0107011830;2008;10000.0;;1.4548;0.05216959258032461
29248;0107011830;2009;10000.0;;0.4891;0.7146819703491153
37912;0107011830;2010;10000.0;;0.3563;0.26647523330940415
46576;0107011830;2011;10000.0;;0.1319;0.10873553039407932
55240;0107011830;2012;10000.0;;0.1351;0.09198187756822253
3256;0107011830;2013;10000.0;;0.0756;0.38147551389092327
11920;0107011830;2014;10000.0;;0.0097;0.24783247984586523
63904;0107011830;2015;10000.0;;-0.0173;0.16332644628099174
72568;0107011830;2016;10000.0;;-0.0003;0.1656153050672182
81232;0107011830;2017;10000.0;;0.0731;0.8462417289474937
89896;0107011830;2018;10644000.0;;-0.029;0.5560878823073945
98560;0107011830;2019;10644000.0;;-0.0246;0.14229907508473602
6781;0107021081;2013;10000.0;;0.0018;0.6503031383737518
15445;0107021081;2014;10000.0;;0.0235;0.7339600414729256
67428;0107021081;2015;10000.0;;0.0279;0.890643721172128
76092;0107021081;2016;10000.0;;0.0015;0.4610142685036628
84756;0107021081;2017;10000.0;;-0.0126;0.7463032473257051
93420;0107021081;2018;10000.0;;0.0012;0.5176475756578774
102084;0107021081;2019;10000.0;;0.0145;0.5733445377721493
1415;0107022310;2013;10000.0;;0.0673;0.20916334661354583
10079;0107022310;2014;;;0.0952;0.4058063507775665
62064;0107022310;2015;;;0.1038;0.253101518902055
70728;0107022310;2016;;;-0.0804;0.20916883611657883
79392;0107022310;2017;;;-0.0826;0.04983851408949561
88056;0107022310;2018;;;-0.0165;0.02015098435880989
8373;0107022342;2013;10000.0;2019-02-07;0.0026;0.11889860592389898
17037;0107022342;2014;10000.0;2019-02-07;0.0023;0.19597129576963074
69021;0107022342;2015;10000.0;2019-02-07;-0.0037;0.744858512447812
4846;0107022575;2013;;;-0.0104;0.21159420289855072
91486;0107022575;2018;207341000.0;;0.0107;0.05827954610242904
100150;0107022575;2019;207341000.0;;0.0008;0.12574836349146992
95660;0107024212;2019;10000.0;;0.094;0.5902127904633016
11802;0107024780;2014;10000.0;;0.0;0.2690395815044461
72449;0107024780;2016;10000.0;;-0.0008;0.13322238935411793
75260;0107025294;2016;11000.0;;0.0172;0.3593983576269352
15963;0107026033;2014;;;-0.0953;0.9991158466190988
67946;0107026033;2015;10000.0;;-0.0168;0.008980942230196035
76610;0107026033;2016;10000.0;;-0.1113;0.12946912631105126
85274;0107026033;2017;10000.0;;0.2051;0.050105444836978506
93938;0107026033;2018;10000.0;;-0.0666;0.43049997439834947
102602;0107026033;2019;10000.0;;-0.2005;0.3805225885603132
67756;0107026058;2015;20000.0;;-0.1315;0.028620560862033143
76420;0107026058;2016;20000.0;;-0.0759;0.10788754770198392
85084;0107026058;2017;20000.0;;-0.066;0.12134331584876033
93748;0107026058;2018;20000.0;;-0.0554;0.08490711795035004
102412;0107026058;2019;20000.0;;-0.0857;0.08435589682118225
74347;0107026107;2016;10000.0;;-0.0445;0.007282621743827778
83011;0107026107;2017;10000.0;;0.0693;0.0755891507336594
100339;0107026107;2019;10000.0;;0.0007;0.023022950522837354
76394;0107026450;2016;10000.0;;-0.0606;0.01797391726766563
85058;0107026450;2017;10000.0;;-0.0324;0.2810278840896665
93722;0107026450;2018;10000.0;;-0.0447;0.9226934758402145
102386;0107026450;2019;10000.0;;-0.0287;0.5844216539010775
15728;0107026499;2014;;;-0.0001;0.3709206675784888
67711;0107026499;2015;10000.0;;-0.0925;0.21196606852149355
76375;0107026499;2016;10000.0;;-0.2097;0.2981694440700251
85039;0107026499;2017;10000.0;;-0.2481;0.018031737448360046
93703;0107026499;2018;10000.0;;-0.1292;0.568241602812942
102367;0107026499;2019;10000.0;;-0.0935;0.5207899412559828
17008;0107026690;2014;10000.0;;-0.0166;0.3489243061046149
77656;0107026690;2016;10000.0;;0.0021;0.6882845188284519
86320;0107026690;2017;10000.0;;-0.0367;0.7891982806951972
94984;0107026690;2018;10000.0;;-0.0069;0.7946932630786602
15483;0107026731;2014;12000.0;;-0.0294;0.003390942900896959
67466;0107026731;2015;12000.0;;0.1617;0.7357278194249938
76130;0107026731;2016;12000.0;;0.0299;0.7138798300227295
84794;0107026731;2017;12000.0;;0.0267;0.5028768066070199
93458;0107026731;2018;12000.0;;-0.7841;0.7327696990192762
16747;0107027037;2014;10000.0;;-9.3636;0.11363636363636363
68731;0107027037;2015;10000.0;;0.1581;0.22442545874224457
77395;0107027037;2016;10000.0;;0.0489;0.47989344602951267
86059;0107027037;2017;10000.0;;0.0178;0.44708964921196703
94723;0107027037;2018;10000.0;;0.1786;0.35614231312082234
103387;0107027037;2019;10000.0;;0.0901;0.33466483624738624
63793;0107028263;2015;10000.0;;0.1062;0.13450589347940614
72457;0107028263;2016;10000.0;;0.0154;0.19985098057059653
81121;0107028263;2017;10000.0;;0.0147;0.42995798928002316
89785;0107028263;2018;10000.0;;-0.0106;0.45693784919861213
60901;0107029108;2015;;;-2.8;0.3
69565;0107029108;2016;;;-3.5556;4.375
78229;0107029108;2017;841239000.0;;-0.0006;0.025832657681161747
86893;0107029108;2018;841239000.0;;-0.0062;0.9879202513098557
95557;0107029108;2019;841239000.0;;-0.6197;1.4958380221986605
83697;0107030022;2017;10000.0;;-0.0236;0.5992366412213741
101025;0107030022;2019;20000.0;;0.1437;0.042765766242004545
71064;0107030777;2016;10000.0;;-1.5;0.39285714285714285
79728;0107030777;2017;10000.0;;-0.9643;1.1071428571428572
88392;0107030777;2018;10000.0;;-0.0473;0.09793081661664824
97056;0107030777;2019;10000.0;;0.0465;0.10786841345270289
77686;0107030784;2016;10000.0;;-1.0085;0.2953091684434968
86350;0107030784;2017;10000.0;;-0.0741;0.26199261992619927
95014;0107030784;2018;10000000.0;;-0.0013;0.17011207882218427
103678;0107030784;2019;10000000.0;;0.0138;0.5183329232008232
78531;0107030801;2017;10000.0;;0.7256;0.9345692475463467
87195;0107030801;2018;10000000.0;;-0.0029;0.6744895795694461
95859;0107030801;2019;10000000.0;;0.0135;0.06475516172299303
77849;0107031040;2016;;;-0.0039;0.48509145577549484
74168;0107031202;2016;10000.0;;-0.0018;0.7960247958280036
82832;0107031202;2017;10000.0;;-0.0115;0.5676808044347041
99270;0107031227;2019;10000.0;;1.0325;0.05470772960167484
55351;0219005673;2012;10000.0;;-0.0021;0.10423684892459187
12031;0219005673;2014;;;-0.0197;0.8694915254237288
64015;0219005673;2015;;;-0.0384;0.3688888888888889
72679;0219005673;2016;;;-0.0368;0.5452408316790304
81343;0219005673;2017;;;-0.0174;0.6216297383876135
90007;0219005673;2018;;;0.7018;0.5272862221180515
98671;0219005673;2019;;;-0.163;0.6202998846597463
65388;0224950369;2015;10000.0;;-0.0306;0.2210645687150046
91380;0224950369;2018;10000.0;;-0.0082;0.002425424849143905
100044;0224950369;2019;10000.0;;0.0005;0.01379044391216264
54271;0225010632;2012;1300000.0;;0.0236;0.7514638096424567
2287;0225010632;2013;1300000.0;;0.0793;0.768344709897611
10951;0225010632;2014;1300000.0;;0.0565;0.5694045974568767
62936;0225010632;2015;1300000.0;;-0.0491;0.609283008534526
71600;0225010632;2016;1300000.0;;0.0068;0.6507013916056559
80264;0225010632;2017;4456000.0;;0.0351;0.3209005055804636
88928;0225010632;2018;4456000.0;;0.0259;0.3635307781649245
97592;0225010632;2019;4456000.0;;0.0082;0.2225743006993007
85608;0229013994;2017;10000.0;;0.0009;0.7327437446074202
94272;0229013994;2018;10000.0;;0.0742;0.17447751741608614
102936;0229013994;2019;10000.0;;-0.0905;0.14576271186440679
23964;0233005330;2008;10000.0;;0.0144;0.7056946727255149
32628;0233005330;2009;10000.0;;0.0067;0.40100978663070164
41292;0233005330;2010;10000.0;;0.0065;0.6117142680895689
49956;0233005330;2011;10000.0;;0.0071;0.9008672609009877
15300;0233005330;2014;;;0.0273;0.6892697353454159
67283;0233005330;2015;;;0.1746;0.6794206179309892
75947;0233005330;2016;10000.0;;0.0649;0.8163647969360888
84611;0233005330;2017;;;0.0546;0.7201282500097244
93275;0233005330;2018;40000000.0;;0.0489;0.8017611979367674
28509;0242008288;2009;10000.0;;-0.0109;0.973961123703551
37173;0242008288;2010;10000.0;;0.0011;0.9439677752291021
45837;0242008288;2011;10000.0;;0.0019;0.9561767599648765
54501;0242008288;2012;10000.0;;-0.0101;0.9353392298318582
2517;0242008288;2013;10000.0;;0.0118;0.9173779524413144
11181;0242008288;2014;10000.0;;0.0156;0.8902363362122045
63165;0242008288;2015;10000.0;;0.0225;0.838526978185946
71829;0242008288;2016;10000.0;;0.0188;0.8838898417365422
80493;0242008288;2017;10000.0;;0.007;0.8909951588309474
89157;0242008288;2018;105825000.0;;0.0111;0.6965529802446545
97821;0242008288;2019;105825000.0;;0.0196;0.5246210542113425
50387;0242009443;2011;20000.0;2020-01-23;-0.0002;0.9972406745017884
59051;0242009443;2012;20000.0;2020-01-23;0.0008;0.2907530430760822
7067;0242009443;2013;40000.0;2020-01-23;0.1474;0.13897828849049318
15731;0242009443;2014;40000.0;2020-01-23;0.0317;0.10732584076563109
67714;0242009443;2015;40000.0;2020-01-23;-0.0222;0.11821473727669164
76378;0242009443;2016;40000.0;2020-01-23;-0.0054;0.09421000981354269
85042;0242009443;2017;40000.0;2020-01-23;-0.0256;0.04457544730582273
93706;0242009443;2018;40000.0;2020-01-23;0.0147;0.0777184410862402
67045;0242011178;2015;;;0.0861;0.542257845577066
75709;0242011178;2016;10000.0;;0.168;0.4532803707381662
84373;0242011178;2017;10000000.0;;0.0288;0.1984829646144172
93037;0242011178;2018;10000000.0;;0.0539;0.0862258033756079
11187;0242011202;2014;10000.0;;0.0;0.6911059512392106
63171;0242011202;2015;10000.0;;-0.0003;0.9804224139740925
71835;0242011202;2016;10000.0;;0.0068;0.9221390650396121
80499;0242011202;2017;10000.0;;0.0003;0.30021344608188566
89163;0242011202;2018;60830000.0;;0.0243;0.6858488614782919
97827;0242011202;2019;60830000.0;;0.0012;0.8485087841234908
20033;0245003190;2008;17000.0;;0.0205;0.5062937062937063
28697;0245003190;2009;17000.0;;0.0385;0.23169377490365145
37361;0245003190;2010;17000.0;;-0.029;0.04931551736692638
46025;0245003190;2011;17000.0;;0.029;0.18624606361659818
54689;0245003190;2012;17000.0;;0.0075;0.2520970619020241
2705;0245003190;2013;17000.0;;0.0029;0.39925951651513836
11369;0245003190;2014;17000.0;;0.0022;0.4415918227952763
63353;0245003190;2015;17000.0;;0.0004;0.6292954158377582
72017;0245003190;2016;17000.0;;0.0008;0.6770232909566521
98009;0245003190;2019;17000.0;;0.004;0.16598819900695844
2233;0245012243;2013;5000000.0;;0.1606;0.07531787268195834
10897;0245012243;2014;5000000.0;;0.069;0.5885426933985469
62882;0245012243;2015;5000000.0;;0.1075;0.6256927843168579
71546;0245012243;2016;5000000.0;;0.1212;0.4566330521112513
80210;0245012243;2017;5000000.0;;0.0963;0.15676979668128113
88874;0245012243;2018;5000000.0;;0.0912;0.08758831770008527
97538;0245012243;2019;5000000.0;;0.0016;0.14720284155778257
32770;0245015942;2009;10000.0;;-0.1539;0.4596903363587827
6778;0245015942;2013;;;0.0429;0.04241845940319223
15442;0245015942;2014;;;0.0084;0.40052307117504204
67425;0245015942;2015;;;0.2957;0.28399622700833205
76089;0245015942;2016;11000.0;;0.133;0.20360453141091658
84753;0245015942;2017;11000.0;;-0.2733;0.4422177688710755
93417;0245015942;2018;;;-0.8707;0.14545454545454545
15584;0245017442;2014;10000.0;;0.0004;0.9465504548378632
76231;0245017442;2016;10000.0;;0.0457;0.7270185751309376
84895;0245017442;2017;10000.0;;-0.2745;0.6434694407679081
93559;0245017442;2018;10000.0;;0.0335;13.165925925925926
102223;0245017442;2019;10000.0;;0.1711;11.836513157894737
59560;0245021086;2012;1200000000.0;2016-03-15;-0.0423;0.006412095030048625
7576;0245021086;2013;1160000000.0;2016-03-15;-0.1089;0.06815365800539445
16240;0245021086;2014;868400000.0;2016-03-15;-0.0665;0.10025704425205995
68224;0245021086;2015;868400000.0;2016-03-15;-0.1251;0.12543254322579542
76579;0245952631;2016;10000.0;;-0.1835;0.4817600601729974
85243;0245952631;2017;10000.0;;-0.1126;0.1728718686560104
93907;0245952631;2018;10000.0;;0.0223;5.653284671532846
102571;0245952631;2019;10000.0;;1.765;4.810289389067524
25138;0252000048;2008;256802000.0;;0.005;0.02788213147751257
33802;0252000048;2009;256802000.0;;0.0016;0.04882645342554571
42466;0252000048;2010;256802000.0;;0.0008;0.012548569678261777
51130;0252000048;2011;256802000.0;;-0.0553;0.0404219140230618
59794;0252000048;2012;256802000.0;;-0.0075;0.10192913377927093
7810;0252000048;2013;256802000.0;;-0.0304;0.0721586227572948
16474;0252000048;2014;256802000.0;;-0.0635;0.07633711457278988
68458;0252000048;2015;256802000.0;;-0.0134;0.1286194353245933
77122;0252000048;2016;256802000.0;;-0.0115;0.1063144264604873
85786;0252000048;2017;256802000.0;;-0.01;0.021931395168070314
94450;0252000048;2018;286802000.0;;-0.0387;0.018595106869995406
103114;0252000048;2019;286802000.0;;-0.0286;0.06649266102447636
19782;0253005063;2008;30000000.0;;0.017;0.25277190913265807
37110;0253005063;2010;30000000.0;;0.0142;0.40206754082515267
45774;0253005063;2011;30000000.0;;0.0061;0.37862753161972346
54438;0253005063;2012;30000000.0;;0.0013;0.25659424981657736
2454;0253005063;2013;30000000.0;;0.0229;0.23301510804871364
11118;0253005063;2014;30000000.0;;0.0024;0.19100499020908343
63102;0253005063;2015;30000000.0;;-0.0159;0.1679837179751787
71766;0253005063;2016;30000000.0;;-0.014;0.18638634887401523
80430;0253005063;2017;30000000.0;;-0.0569;0.19848046896608834
89094;0253005063;2018;30000000.0;;-0.0085;0.19611300049066782
31316;0253007960;2009;10000.0;;0.0006;0.07046637371188279
39980;0253007960;2010;10000.0;;-0.0114;0.01433287531199853
57308;0253007960;2012;10000.0;;-0.0961;0.015280997596703535
5324;0253007960;2013;10000.0;;-0.0152;0.03039379270659525
13988;0253007960;2014;10000.0;;0.0039;0.12460835880637057
74635;0253007960;2016;10000.0;;0.0004;0.6652732957063417
83299;0253007960;2017;10000.0;;0.0013;0.23582021512286114
91963;0253007960;2018;80010000.0;;0.0004;0.6504282131308148
18927;0253011050;2008;12000.0;;0.0235;0.17170777475629342
27591;0253011050;2009;12000.0;;-0.09;0.052539749879002624
36255;0253011050;2010;12000.0;;0.1572;0.08957303940200177
44919;0253011050;2011;12000.0;;-0.2301;0.39696504487482287
53583;0253011050;2012;12000.0;;-0.0894;0.6002769111816375
1599;0253011050;2013;12000.0;;0.0446;0.43364600326264274
10263;0253011050;2014;12000.0;;0.0049;0.47852091529703034
62248;0253011050;2015;12000.0;;-0.0045;0.3569785004003933
70912;0253011050;2016;12000.0;;-0.1526;0.5266590304463494
79576;0253011050;2017;12000.0;;-0.1443;0.6902199956436507
88240;0253011050;2018;12000.0;;-0.08;0.7509629003801903
96904;0253011050;2019;12000.0;;-0.0357;0.7654295985013417
23287;0253013339;2008;31977000.0;;0.0374;0.08235050162860379
31951;0253013339;2009;31977000.0;;0.0049;0.004588942416816459
40615;0253013339;2010;31977000.0;;0.0003;0.016684507802233187
49279;0253013339;2011;31977000.0;;0.0018;0.01371350122166582
57943;0253013339;2012;31977000.0;;0.0057;0.29511489957171766
5959;0253013339;2013;31977000.0;;0.0005;0.11789464615487229
14623;0253013339;2014;31977000.0;;0.0002;0.07377348359499382
66606;0253013339;2015;31977000.0;;-0.0038;0.03938639244769448
75270;0253013339;2016;31977000.0;;-0.0485;0.10138660472801815
35993;0253013755;2010;11000.0;;0.0006;0.5392553159792227
44657;0253013755;2011;11000.0;;-0.0175;0.5833003409918136
53321;0253013755;2012;11000.0;;0.0004;0.5395439699642868
1337;0253013755;2013;11000.0;;0.0035;0.6408508143654577
10001;0253013755;2014;11000.0;;0.008;0.6147952558220068
61986;0253013755;2015;11000.0;;0.0019;0.22297001360884733
87978;0253013755;2018;11000.0;;-0.0506;0.8772784719417337
18093;0253014741;2008;110000.0;;0.0212;0.7087704781370994
26757;0253014741;2009;110000.0;;0.0366;0.7590309472249304
35421;0253014741;2010;110000.0;;0.0127;0.32681532854918205
44085;0253014741;2011;110000.0;;0.0408;0.4656242727069787
52749;0253014741;2012;;;0.0406;0.5667968798136761
765;0253014741;2013;;;0.0478;0.3575074025549791
9429;0253014741;2014;;;0.0279;0.4087289894333286
61413;0253014741;2015;110000.0;;0.0122;0.47770040138383557
70077;0253014741;2016;110000.0;;0.0055;0.08796123065074526
78741;0253014741;2017;110000.0;;0.0107;0.21092300897983218
87405;0253014741;2018;110000.0;;0.0541;0.3353374233128834
96069;0253014741;2019;110000.0;;0.3464;0.1346698769921216
25631;0255008655;2008;23339000.0;;0.0168;0.04831112905396313
34295;0255008655;2009;23339000.0;;0.0019;0.01216468023766832
42959;0255008655;2010;23339000.0;;0.0144;0.04661432777232581
51623;0255008655;2011;23339000.0;;0.0189;0.03832528180354267
60287;0255008655;2012;23339000.0;;0.0085;0.009985468907187302
8303;0255008655;2013;23339000.0;;0.0132;0.010412478893623863
16967;0255008655;2014;23339000.0;;0.0077;0.025061051283077784
68951;0255008655;2015;23339000.0;;0.0002;0.030643055328872206
77615;0255008655;2016;23339000.0;;0.0108;0.06820396232543033
86279;0255008655;2017;23339000.0;;0.2108;0.025205776826363553
94943;0255008655;2018;23339000.0;;0.0025;0.030917477279992694
103607;0255008655;2019;23339000.0;;0.0151;0.11221714219572893
24410;0255009634;2008;1123000.0;;0.0074;0.14540563092549166
33074;0255009634;2009;1123000.0;;0.0067;0.23626454558845192
41738;0255009634;2010;1123000.0;;0.0085;0.09968551159218898
50402;0255009634;2011;1123000.0;;0.0048;0.005850979143448495
59066;0255009634;2012;1123000.0;;0.0063;0.03562214808527803
7082;0255009634;2013;1123000.0;;0.004;0.004901960784313725
15746;0255009634;2014;1123000.0;;0.1039;0.13224782109316938
67729;0255009634;2015;1123000.0;;0.0811;0.19734904270986744
76393;0255009634;2016;1123000.0;;0.0919;0.0027154046997389034
85057;0255009634;2017;13123000.0;;0.1561;0.011486112648002656
93721;0255009634;2018;13123000.0;;0.2161;0.06494234559595888
102385;0255009634;2019;13123000.0;;0.1206;0.1788941217512646
19888;0255013119;2008;10000.0;;0.0015;0.07584851925953964
28552;0255013119;2009;10000.0;;0.0012;0.05357160390789926
37216;0255013119;2010;10000.0;;0.0002;0.00171165031617985
45880;0255013119;2011;10000.0;;0.0003;0.11635341720409319
54544;0255013119;2012;10000.0;;0.0017;0.4962799729452578
2560;0255013119;2013;10000.0;;0.0024;0.3100686367751028
11224;0255013119;2014;10000.0;;0.0034;0.41890532969400945
63208;0255013119;2015;10000.0;;0.0007;0.2329964986121442
71872;0255013119;2016;10000.0;;0.0873;0.14380371660859464
80536;0255013119;2017;11010000.0;;0.0488;0.184790824397961
89200;0255013119;2018;11010000.0;;0.0035;0.2307634188572328
97864;0255013119;2019;11010000.0;;0.049;0.3112333071484682
18077;0257005191;2008;100000.0;;0.016;0.39494914065240266
26741;0257005191;2009;100000.0;;0.0088;0.3511468716224331
35405;0257005191;2010;100000.0;;0.0002;0.7377550142033227
44069;0257005191;2011;25100000.0;;0.0019;0.5667550058892815
52733;0257005191;2012;25100000.0;;0.003;0.5889191194657433
749;0257005191;2013;25100000.0;;0.0053;0.21132252664244008
9413;0257005191;2014;25100000.0;;0.0079;0.37884951752058643
61397;0257005191;2015;25100000.0;;0.0045;0.36425209298983147
70061;0257005191;2016;25100000.0;;-0.0312;0.20915528578654527
78725;0257005191;2017;25100000.0;;-0.0278;0.2793658616724166
87389;0257005191;2018;25100000.0;;-0.017;0.35690625589098646
96053;0257005191;2019;25100000.0;;-0.0149;0.2951441353361183
20616;0257005956;2008;10000.0;;0.1426;0.48318221702252123
29280;0257005956;2009;10000.0;;0.097;0.193327239488117
37944;0257005956;2010;10000.0;;0.2163;0.05512273996766132
46608;0257005956;2011;10000.0;;0.2613;0.46782596928073616
55272;0257005956;2012;10000.0;;0.2821;0.22680084745762713
3288;0257005956;2013;10000.0;;0.2706;0.30084764372611883
11952;0257005956;2014;10000.0;;0.1719;0.07756285528976384
63936;0257005956;2015;10000.0;;0.0635;0.08640193659513058
72600;0257005956;2016;10000.0;;0.0732;0.2163952962460425
81264;0257005956;2017;2500000.0;;0.115;0.17615354278953596
89928;0257005956;2018;10000000.0;;0.0088;0.05921100859784897
98592;0257005956;2019;10000000.0;;0.0206;0.06656864372613655
56099;0260011533;2012;100000.0;;1.769;0.10231271995977878
4115;0260011533;2013;100000.0;;0.0274;0.33719852158115643
12779;0260011533;2014;100000.0;;0.1003;0.5319203297008476
64763;0260011533;2015;100000.0;;0.0017;0.041103689084560496
73427;0260011533;2016;100000.0;;0.0007;0.04469966569610698
99419;0260011533;2019;18240000.0;;0.0001;0.12889495225102318
41630;0261017915;2010;10000.0;;0.0044;0.7750484809308339
50294;0261017915;2011;10000.0;;-0.0377;0.2924883669399512
15638;0261017915;2014;10000.0;;0.4918;0.14731143403753003
67621;0261017915;2015;10000.0;;-0.0517;0.3272171930678825
76285;0261017915;2016;10000.0;;0.0484;0.2536313427237334
84949;0261017915;2017;10000.0;;0.2895;0.23508228382891402
93613;0261017915;2018;4000000.0;;0.0193;0.41132410816300624
102277;0261017915;2019;4000000.0;;0.0465;0.33629150989694095
2589;0261020820;2013;10000.0;;0.0016;0.6980186999109528
11253;0261020820;2014;10000.0;;0.0012;0.05876827114568068
63237;0261020820;2015;10000.0;;-0.0037;0.015082689250574452
71901;0261020820;2016;10000.0;;-0.0263;0.05712873599794179
64629;0261021446;2015;;2018-08-03;-0.0245;0.8831364191920774
73293;0261021446;2016;;2018-08-03;-0.3394;0.24530814868628162
16231;0261021573;2014;;;0.0122;0.243998587903036
68215;0261021573;2015;;;0.0054;0.23288793959864892
76879;0261021573;2016;10000.0;;0.0211;0.11784903361577227
85543;0261021573;2017;4000000.0;;0.015;0.14652215667444093
94207;0261021573;2018;4000000.0;;0.003;0.18736406007250128
102871;0261021573;2019;4000000.0;;0.0084;0.04503304601311788
65061;0261023179;2015;50000.0;;0.2702;0.16706634692246203
73725;0261023179;2016;50000.0;;0.2502;0.23585810162991372
82389;0261023179;2017;4000000.0;;0.0512;0.03502919099249374
91053;0261023179;2018;4600000.0;;0.0284;0.035210665755063666
17575;0262002911;2008;50000.0;;0.0596;0.5784428907100694
26239;0262002911;2009;50000.0;;0.244;0.23944511459589868
34903;0262002911;2010;50000.0;;0.2372;0.3135088688393789
43567;0262002911;2011;50000.0;;0.1543;0.2887925912982701
52231;0262002911;2012;50000.0;;0.1134;0.39280353200883
247;0262002911;2013;50000.0;;0.1216;0.5834657704365648
8911;0262002911;2014;50000.0;;0.0871;0.41878757212337253
60895;0262002911;2015;50000.0;;0.0546;0.37762502663499403
69559;0262002911;2016;50000.0;;0.04;0.3355200905848025
